Boids		Naive (fps)		CPS 1 (fps)	CPS 2 (fps)
10		60			60		60
100		60			60		60
200		60			60		60
300		60			60		60
400		52			60		57
500		40			53		56
600		30			45		48
700		24			37		40
800		19			33		36
900		16			29		31
1000		13			26		28
1100		11.5			24		26
1200		10.0			22		23
1300		8.8			20		21
1400					19		20
1500					16		18
